fragment_smiles,count
[3*]O[C@H]1CN(C)[C@@H]([C@H]([4*])[8*])C(=O)N(C)[C@@H]1[13*],11
[3*]O[C@H]1CN(C)[C@@H]([13*])C(=O)N(C)[C@@H]1[13*],11
[13*][C@@H]1O[C@H]([13*])[C@@H](O)[C@H]1[15*],11
[3*]O[C@@H]1O[C@H]([13*])[C@@H](O)[C@H]1[15*],11
[13*][C@@H]1CCN=C(C)N1,10
[1*]C(=O)CC(O)CCCCCCCCC,10
[1*]C(=O)[C@@H](CCC(=O)O)N[5*],10
[1*]C(=O)[C@@H](N[5*])[C@H](O)C(=O)O,10
[3*]Oc1ccc([16*])cc1,10
[3*]Oc1ccc(C[8*])cc1,10
[16*]c1cccc2[nH]cc([16*])c12,10
[3*]Oc1cc([16*])c(O)c([16*])c1,10
[3*]OCN([5*])[5*],10
[1*]C(=O)CCC,10
[7*]CC(N)=O,10
[7*]C(C)CC[8*],10
[16*]c1ccc([N+](=O)[O-])cc1,10
[1*]C(=O)[C@H](CCN)N[5*],10
[3*]OC1OC([13*])C(O)C(O)C1O,10
[1*]C(=O)C(N[5*])C(O)C(=O)O,10
[9*]n1cnc2c(N)ncnc21,10
[3*]O[C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O,10
[13*][C@@H]1O[C@H](C)[C@@H](O)[C@H](N)[C@@H]1O,10
[4*]CCCC[7*],10
[7*]CCCCCCC,10
[3*]O[C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,10
[13*][C@H]1C[C@@H](O)[C@H](O)[C@@H](C)O1,10
[3*]O[C@H]1C[C@@H](O[3*])[C@H](O)[C@@H](C)O1,10
[1*]C(=O)CCCCCCCCCCCCC,10
[7*]CCC(O)C[7*],10
[1*]C(=O)[C@@H]([4*])CC(C)C,10
[3*]OC1CCN([5*])C1[13*],10
[5*]NC(CC(N)=O)C(=O)O,10
[1*]C(=O)C(CCC(=O)O)N[5*],10
[16*]c1ccc([16*])c(O)c1[16*],10
[3*]O[C@H]1CC[C@H]([13*])O[C@@H]1C,10
[3*]O[C@H]1CC[C@H]([15*])[C@@H](C)O1,10
[1*]C(=O)C(C[8*])N[5*],10
[4*]C(C)(C)C=C,10
[5*]NCCCN[5*],10
[4*][C@@H]([8*])[C@H]1O[C@@H]([13*])[C@H](O)[C@@H]1O,10
[5*]N[C@H]1CCCN(O)C1=O,9
[7*]Cc1coc([14*])n1,9
[8*]Cc1c[nH]c2cccc([16*])c12,9
[4*]C[C@H](N[5*])C(=O)O,9
[3*]O[C@@H]1O[C@H]([13*])[C@H]([15*])[C@H](O[3*])[C@H]1O,9
[3*]O[C@H]1O[C@H](C[4*])[C@@H](O)[C@H](O)[C@H]1O,9
